video,prompt
dataset/wan22_training/easycom_processed/26-00-613_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 26-00-613"
dataset/wan22_training/easycom_processed/09-00-406_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 09-00-406"
dataset/wan22_training/easycom_processed/10-00-416_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 10-00-416"
dataset/wan22_training/easycom_processed/22-00-560_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 22-00-560"
dataset/wan22_training/easycom_processed/01-00-288_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 01-00-288"
dataset/wan22_training/easycom_processed/06-00-361_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 06-00-361"
dataset/wan22_training/easycom_processed/00-00-000_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 00-00-000"
dataset/wan22_training/easycom_processed/07-00-379_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 07-00-379"
dataset/wan22_training/easycom_processed/08-00-383_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 08-00-383"
dataset/wan22_training/easycom_processed/12-00-434_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 12-00-434"
dataset/wan22_training/easycom_processed/11-00-439_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 11-00-439"
dataset/wan22_training/easycom_processed/28-00-634_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 28-00-634"
dataset/wan22_training/easycom_processed/23-00-599_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 23-00-599"
dataset/wan22_training/easycom_processed/27-00-643_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 27-00-643"
dataset/wan22_training/easycom_processed/19-00-530_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 19-00-530"
dataset/wan22_training/easycom_processed/21-00-553_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 21-00-553"
dataset/wan22_training/easycom_processed/24-00-604_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 24-00-604"
dataset/wan22_training/easycom_processed/29-00-647_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 29-00-647"
dataset/wan22_training/easycom_processed/03-00-321_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 03-00-321"
dataset/wan22_training/easycom_processed/02-00-310_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 02-00-310"
dataset/wan22_training/easycom_processed/20-00-543_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 20-00-543"
dataset/wan22_training/easycom_processed/04-00-345_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 04-00-345"
dataset/wan22_training/easycom_processed/25-00-604_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 25-00-604"
dataset/wan22_training/easycom_processed/05-00-347_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 05-00-347"
dataset/wan22_training/easycom_processed/18-00-503_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 18-00-503"
dataset/wan22_training/easycom_processed/20-00-548_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 20-00-548"
dataset/wan22_training/easycom_processed/19-00-525_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 19-00-525"
dataset/wan22_training/easycom_processed/25-00-605_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 25-00-605"
dataset/wan22_training/easycom_processed/24-00-597_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 24-00-597"
dataset/wan22_training/easycom_processed/15-00-477_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 15-00-477"
dataset/wan22_training/easycom_processed/29-00-665_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 29-00-665"
dataset/wan22_training/easycom_processed/17-00-495_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 17-00-495"
dataset/wan22_training/easycom_processed/27-00-633_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 27-00-633"
dataset/wan22_training/easycom_processed/11-00-424_1280x704_24fps.mp4,"Two people having a conversation in an augmented reality setting, video_id: 11-00-424"
