video,prompt
dataset/wan22_training/charades_processed/VSJ05_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: VSJ05"
dataset/wan22_training/charades_processed/XUV0Y_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: XUV0Y"
dataset/wan22_training/charades_processed/XF93D_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: XF93D"
dataset/wan22_training/charades_processed/C6F8V_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: C6F8V"
dataset/wan22_training/charades_processed/DGMDT_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: DGMDT"
dataset/wan22_training/charades_processed/RQVJK_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: RQVJK"
dataset/wan22_training/charades_processed/N0ODO_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: N0ODO"
dataset/wan22_training/charades_processed/1L7XE_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: 1L7XE"
dataset/wan22_training/charades_processed/WWVFH_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: WWVFH"
dataset/wan22_training/charades_processed/9JIHR_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: 9JIHR"
dataset/wan22_training/charades_processed/NTW37_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: NTW37"
dataset/wan22_training/charades_processed/DECCY_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: DECCY"
dataset/wan22_training/charades_processed/AK9IB_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: AK9IB"
dataset/wan22_training/charades_processed/9UPC6_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: 9UPC6"
dataset/wan22_training/charades_processed/I2QTB_1280x704_24fps.mp4,"A person performing a daily activity, first-person view, realistic, video_id: I2QTB"
